GEO_ID,NAME,B08301_001E,B08301_001M,B08301_002E,B08301_002M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_005E,B08301_005M,B08301_006E,B08301_006M,B08301_007E,B08301_007M,B08301_008E,B08301_008M,B08301_009E,B08301_009M,B08301_010E,B08301_010M,B08301_011E,B08301_011M,B08301_012E,B08301_012M,B08301_013E,B08301_013M,B08301_014E,B08301_014M,B08301_015E,B08301_015M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
06037101110,Census Tract 1011.10; Los Angeles County; California,2043,288,1858,276,1712,286,146,107,141,107,0,13,5,7,0,13,0,13,49,47,49,47,0,13,0,13,0,13,0,13,0,13,16,25,0,13,12,19,2,10,106,62
06037101122,Census Tract 1011.22; Los Angeles County; California,2014,486,1583,388,1460,385,123,90,57,67,54,62,0,13,12,19,0,13,9,15,0,13,9,15,0,13,0,13,0,13,8,12,0,13,0,13,0,13,78,121,336,144
06037101220,Census Tract 1012.20; Los Angeles County; California,1665,326,1317,261,1229,261,88,53,88,53,0,13,0,13,0,13,0,13,91,105,91,105,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,43,111,85,115,74
06037101221,Census Tract 1012.21; Los Angeles County; California,1762,408,1561,392,1344,353,217,163,132,110,85,117,0,13,0,13,0,13,47,55,23,38,24,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13,131,95,23,27
06037101222,Census Tract 1012.22; Los Angeles County; California,1105,235,972,241,943,205,29,55,0,13,13,25,16,30,0,13,0,13,19,29,19,29,0,13,0,13,0,13,0,13,17,26,0,13,0,13,59,48,12,22,26,30
06037101300,Census Tract 1013; Los Angeles County; California,1871,285,1514,278,1235,283,279,143,247,141,32,39,0,13,0,13,0,13,29,27,29,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,39,301,135
06037101400,Census Tract 1014; Los Angeles County; California,1615,322,1345,262,1211,255,134,61,134,61,0,13,0,13,0,13,0,13,21,31,21,31,0,13,0,13,0,13,0,13,11,18,5,10,0,13,0,13,11,21,222,114
06037102103,Census Tract 1021.03; Los Angeles County; California,737,153,618,126,529,136,89,71,62,57,0,13,0,13,27,42,0,13,10,18,0,13,10,18,0,13,0,13,0,13,0,13,0,13,0,13,26,31,0,13,83,49
06037102104,Census Tract 1021.04; Los Angeles County; California,1715,228,1150,278,1069,270,81,60,81,60,0,13,0,13,0,13,0,13,39,39,39,39,0,13,0,13,0,13,0,13,0,13,0,13,5,9,49,32,0,13,472,142
06037102105,Census Tract 1021.05; Los Angeles County; California,747,162,656,161,607,165,49,26,41,24,0,13,8,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,34,44,0,13,0,13,9,16,0,13,48,39
06037102107,Census Tract 1021.07; Los Angeles County; California,1546,341,1410,341,1251,319,159,104,105,87,14,29,29,46,0,13,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,136,84
06037103101,Census Tract 1031.01; Los Angeles County; California,1482,212,1295,194,1116,191,179,94,78,67,88,55,3,5,10,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,6,0,13,5,8,178,92
06037103102,Census Tract 1031.02; Los Angeles County; California,2096,374,1831,329,1680,309,151,84,46,35,77,73,17,27,11,18,0,13,103,84,103,84,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,31,16,20,120,73
06037103201,Census Tract 1032.01; Los Angeles County; California,2004,384,1768,344,1509,350,259,130,239,127,20,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,42,55,0,13,11,18,0,13,183,160
06037103202,Census Tract 1032.02; Los Angeles County; California,850,223,767,216,740,209,27,34,16,26,0,13,11,18,0,13,0,13,16,25,16,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,32,0,13,48,67
06037103300,Census Tract 1033; Los Angeles County; California,1595,205,1190,192,1091,194,99,69,61,52,0,13,38,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,14,0,13,0,13,0,13,0,13,396,155
06037103401,Census Tract 1034.01; Los Angeles County; California,1144,380,865,205,865,205,0,13,0,13,0,13,0,13,0,13,0,13,6,11,6,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,17,262,243
06037103402,Census Tract 1034.02; Los Angeles County; California,1956,384,1518,345,1312,309,206,120,167,97,39,52,0,13,0,13,0,13,32,33,0,13,0,13,32,33,0,13,0,13,0,13,0,13,0,13,0,13,0,13,406,188
06037104103,Census Tract 1041.03; Los Angeles County; California,1853,452,1584,445,1429,424,155,89,148,89,0,13,7,12,0,13,0,13,13,14,7,11,6,9,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,32,233,111
06037104105,Census Tract 1041.05; Los Angeles County; California,2329,417,1976,380,1736,330,240,181,134,157,48,36,58,100,0,19,0,19,109,106,95,104,0,19,14,21,0,19,0,19,0,19,0,19,0,19,33,50,41,56,170,104
06037104108,Census Tract 1041.08; Los Angeles County; California,2101,332,1848,325,1608,320,240,95,233,92,7,14,0,13,0,13,0,13,99,74,99,74,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,21,10,25,131,91
06037104124,Census Tract 1041.24; Los Angeles County; California,1696,274,1443,232,1366,235,77,68,32,34,45,64,0,13,0,13,0,13,3,55,3,55,0,13,0,13,0,13,0,13,0,13,0,13,0,13,68,95,0,13,182,165
06037104201,Census Tract 1042.01; Los Angeles County; California,2044,366,1798,364,1483,321,315,137,166,79,95,70,54,62,0,13,0,13,68,72,68,72,0,13,0,13,0,13,0,13,0,13,0,13,0,13,63,44,0,13,115,57
06037104203,Census Tract 1042.03; Los Angeles County; California,2181,364,1972,338,1372,295,600,231,352,165,173,149,50,56,0,19,25,30,22,28,7,16,15,23,0,19,0,19,0,19,0,19,0,19,0,19,24,41,11,18,152,103
06037104204,Census Tract 1042.04; Los Angeles County; California,1423,207,1346,193,1039,166,307,93,251,88,50,34,6,9,0,13,0,13,21,20,8,13,0,13,0,13,0,13,13,16,0,13,0,13,0,13,0,13,0,13,56,38
06037104310,Census Tract 1043.10; Los Angeles County; California,2153,375,1804,336,1299,289,505,157,380,165,108,74,0,13,17,25,0,13,52,38,52,38,0,13,0,13,0,13,0,13,6,10,0,13,0,13,0,13,45,56,246,140
06037104321,Census Tract 1043.21; Los Angeles County; California,1117,307,1007,302,725,264,282,189,81,73,59,86,59,103,83,90,0,13,31,44,31,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,7,22,27,33,45,39
06037104322,Census Tract 1043.22; Los Angeles County; California,862,136,668,125,519,154,149,89,127,82,22,37,0,13,0,13,0,13,58,53,58,53,0,13,0,13,0,13,0,13,0,13,0,13,0,13,25,30,11,17,100,88
06037104401,Census Tract 1044.01; Los Angeles County; California,1244,186,1101,177,988,165,113,53,113,53,0,13,0,13,0,13,0,13,48,57,8,13,0,13,27,42,13,20,0,13,0,13,18,28,0,13,40,30,11,19,26,21
06037104403,Census Tract 1044.03; Los Angeles County; California,1191,212,1013,187,851,177,162,72,79,31,36,40,47,57,0,13,0,13,6,10,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,25,32,34,32,113,55
06037104404,Census Tract 1044.04; Los Angeles County; California,1446,284,1266,262,1014,251,252,111,216,108,36,29,0,13,0,13,0,13,104,79,96,78,8,12,0,13,0,13,0,13,0,13,0,13,0,13,24,20,11,22,41,35
06037104500,Census Tract 1045; Los Angeles County; California,1424,358,1168,272,842,250,326,148,126,52,148,112,52,76,0,13,0,13,121,145,70,75,51,76,0,13,0,13,0,13,16,21,0,13,0,13,48,36,6,9,65,71
06037104610,Census Tract 1046.10; Los Angeles County; California,1364,248,1140,224,931,194,209,80,127,52,59,56,0,13,23,34,0,13,43,31,43,31,0,13,0,13,0,13,0,13,0,13,22,36,0,13,41,38,11,19,107,69
06037104620,Census Tract 1046.20; Los Angeles County; California,1637,347,1435,327,1185,281,250,121,82,45,81,96,69,62,18,19,0,13,46,35,46,35,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,19,77,47,62,45
06037104701,Census Tract 1047.01; Los Angeles County; California,1462,202,1161,182,899,159,262,90,137,65,69,46,50,41,6,11,0,13,88,65,88,65,0,13,0,13,0,13,0,13,39,31,0,13,0,13,15,20,140,119,19,23
06037104703,Census Tract 1047.03; Los Angeles County; California,925,336,844,341,760,329,84,69,69,64,15,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,27,38,35,28,34
06037104704,Census Tract 1047.04; Los Angeles County; California,1829,367,1364,306,1144,293,220,88,144,86,53,53,0,13,23,36,0,13,94,65,44,48,0,13,50,47,0,13,0,13,63,96,11,20,0,13,22,26,30,29,245,111
