SERIAL_NUMBER,VIOLATION_STATUS,VIOLATION_CODE,VIOLATION_DESCRIPTION,ObjectId
DA0AGYZ72,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,1
DA0YM4M0Y,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2
DA0YM4M0Y,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,3
DADRA7FCN,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,4
DADXME3R7,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,5
DADXME3R7,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,6
DAHLZJDDJ,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,7
DAJD8GEIE,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,8
DAJD8GEIE,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9
DAJD8GEIE,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT,10
DAJD8GEIE,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,11
DAKR5A10K,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,12
DAKR5A10K,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,13
DAMCZLXRB,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,14
DANC9ZCRP,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,15
DANC9ZCRP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,16
DANC9ZCRP,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,17
DAOCFF7VL,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,18
DAP4UCIHH,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,19
DAP4UCIHH,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,20
DAPBO2GSN,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,21
DAPBO2GSN,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,22
DAPBO2GSN,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,23
DAPBO2GSN,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,24
DAPBO2GSN,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",25
DAQJTOM4G,OUT OF COMPLIANCE,H009,INADEQUATE FLOW - UNIT,26
DARTLKRA3,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,27
DARTLKRA3,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,28
DASFBWUYA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,29
DASFBWUYA,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,30
DAT3KIXCW,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,31
DAT3KIXCW,OUT OF COMPLIANCE,H037,VENTILATION - UNIT,32
DAT3KIXCW,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,33
